conflict_id,classification,surface,key,addendums,statuses,authority_class,summary,disposition
C0011,currentness,path,CURRENT_ACTIVE_ENTRYPOINT.md,csf_p11_repo_relative_patch;csf_p12_patch_bundle_changed_files,added;modified,package_meta_or_currentness,Multiple addendums touch repo path CURRENT_ACTIVE_ENTRYPOINT.md. Hashes differ: False.,UNRESOLVED unless explicitly merged in final package metadata or decision ledger.
C0012,currentness,currentness_file,CURRENT_PACKAGE_CHANGELOG.md,csf_p11_repo_relative_patch;csf_p12_patch_bundle_changed_files;regulatory_inspector_RC2_1a_full_snapshot,modified,mixed,Multiple addendums touch currentness_file=CURRENT_PACKAGE_CHANGELOG.md. Sample paths: CURRENT_PACKAGE_CHANGELOG.md,REVIEWED; merge only where path-level decision is safe; no authority promotion from concept overlap.
C0013,semantic,text_id,IMP-106,csf_p12_patch_bundle_changed_files;regulatory_inspector_RC2_1a_full_snapshot,modified,mixed,Multiple addendums touch text_id=IMP-106. Sample paths: 04_implementation_and_conformance/service_and_sdk_candidates/reference_platform_and_sdk/OFARM_Implementation_Task_Register_v0_1.json; CURRENT_PACKAGE_CHANGELOG.md,REVIEWED; merge only where path-level decision is safe; no authority promotion from concept overlap.
C0014,currentness,currentness_file,MANIFEST.csv,csf_p12_patch_bundle_changed_files;regulatory_inspector_RC2_1a_full_snapshot,modified,mixed,Multiple addendums touch currentness_file=MANIFEST.csv. Sample paths: MANIFEST.csv,REVIEWED; merge only where path-level decision is safe; no authority promotion from concept overlap.
C0015,currentness,currentness_file,MATERIAL_STATUS.csv,csf_p12_patch_bundle_changed_files;predevelopment_ai_agent_ready_v0_1_partial;regulatory_inspector_RC2_1a_full_snapshot,modified,mixed,Multiple addendums touch currentness_file=MATERIAL_STATUS.csv. Sample paths: MATERIAL_STATUS.csv,REVIEWED; merge only where path-level decision is safe; no authority promotion from concept overlap.
C0016,currentness,currentness_file,MATERIAL_STATUS.json,csf_p12_patch_bundle_changed_files;predevelopment_ai_agent_ready_v0_1_partial;regulatory_inspector_RC2_1a_full_snapshot,modified,mixed,Multiple addendums touch currentness_file=MATERIAL_STATUS.json. Sample paths: MATERIAL_STATUS.json,REVIEWED; merge only where path-level decision is safe; no authority promotion from concept overlap.
C0017,authority,authority_or_core_concept,authority,ai_assistant_computation_finalisation_v0_8_partial;csf_p11_repo_relative_patch;csf_p12_patch_bundle_changed_files;farm_owner_consolidated_v0_1_partial;predevelopment_ai_agent_ready_v0_1_partial;regulatory_inspector_RC2_1a_full_snapshot,added;modified,mixed,Multiple addendums touch authority_or_core_concept=authority. Sample paths: 00_active_baseline/OFARM_Alignment_Register_v0_13.md; 00_active_baseline/OFARM_Platform_Runtime_and_Product_Architecture_RC2_1.md; 00_active_baseline/OFARM_Reference_Model_and_Artifact_Constitution_RC2_1.md; 00_active_baseline/OFARM_Regulatory_Inspector_Harmonization_Addendum_RC2_1a.md; 00_active_baseline/OFARM_final_hostile_review_after_gap_closure_v0_1.md; 00_active_baseline/OFARM_post_gap_closure_readiness_gate_memo_v0_1.md; 00_active_baseline_draft_patches/OFARM_AI_Assistant_Computation_Baseline_Harmonisation_Patch_Memo_v0_3.md; 00_active_baseline_draft_patches/OFARM_Reference_Model_AI_Computation_Harmonisation_Patch_v0_1_DRAFT.md,REVIEWED; merge only where path-level decision is safe; no authority promotion from concept overlap.
C0018,authority,authority_or_core_concept,delegation,ai_assistant_computation_finalisation_v0_8_partial;csf_p11_repo_relative_patch;csf_p12_patch_bundle_changed_files;predevelopment_ai_agent_ready_v0_1_partial;regulatory_inspector_RC2_1a_full_snapshot,added;modified,mixed,Multiple addendums touch authority_or_core_concept=delegation. Sample paths: 00_active_baseline/OFARM_Alignment_Register_v0_13.md; 00_active_baseline/OFARM_Platform_Runtime_and_Product_Architecture_RC2_1.md; 00_active_baseline/OFARM_Reference_Model_and_Artifact_Constitution_RC2_1.md; 00_active_baseline/OFARM_Regulatory_Inspector_Harmonization_Addendum_RC2_1a.md; 00_package_control/INTEGRATION_MAP_v0_3.md; 01_companion_artifacts/OFARM_Regulatory_Inspector_Hardening_Note_v0_1.md; 03_machine_contracts/OFARM_AuthorizationDecisionRequest_example_live_pilot_run_crop_protection_promotion_v0_2.json; 03_machine_contracts/OFARM_AuthorizationDecisionRequest_example_regulatory_pilot_crop_protection_promotion_v0_2.json,REVIEWED; merge only where path-level decision is safe; no authority promotion from concept overlap.
C0019,authority,authority_or_core_concept,revocation,ai_assistant_computation_finalisation_v0_8_partial;csf_p11_repo_relative_patch;csf_p12_patch_bundle_changed_files;predevelopment_ai_agent_ready_v0_1_partial;regulatory_inspector_RC2_1a_full_snapshot,added;modified,mixed,Multiple addendums touch authority_or_core_concept=revocation. Sample paths: 00_active_baseline/OFARM_Alignment_Register_v0_13.md; 00_active_baseline/OFARM_Platform_Runtime_and_Product_Architecture_RC2_1.md; 00_active_baseline/OFARM_Reference_Model_and_Artifact_Constitution_RC2_1.md; 00_active_baseline/OFARM_Regulatory_Inspector_Harmonization_Addendum_RC2_1a.md; 00_active_baseline/OFARM_final_hostile_review_after_gap_closure_v0_1.md; 00_active_baseline/OFARM_post_gap_closure_readiness_gate_memo_v0_1.md; 00_package_control/CAPABILITY_MANIFEST_MERGE_DECISION_v0_7.md; 00_package_control/PROMOTION_BLOCKERS_v0_4.md,REVIEWED; merge only where path-level decision is safe; no authority promotion from concept overlap.
C0020,semantic,authority_or_core_concept,materialization,ai_assistant_computation_finalisation_v0_8_partial;csf_p11_repo_relative_patch;csf_p12_patch_bundle_changed_files;farm_owner_consolidated_v0_1_partial;predevelopment_ai_agent_ready_v0_1_partial;regulatory_inspector_RC2_1a_full_snapshot,added;modified,mixed,Multiple addendums touch authority_or_core_concept=materialization. Sample paths: 00_active_baseline/OFARM_Alignment_Register_v0_13.md; 00_active_baseline/OFARM_Platform_Runtime_and_Product_Architecture_RC2_1.md; 00_active_baseline/OFARM_Reference_Model_and_Artifact_Constitution_RC2_1.md; 00_active_baseline/OFARM_Regulatory_Inspector_Harmonization_Addendum_RC2_1a.md; 00_active_baseline/OFARM_final_hostile_review_after_gap_closure_v0_1.md; 00_active_baseline/OFARM_post_gap_closure_readiness_gate_memo_v0_1.md; 00_active_baseline_draft_patches/OFARM_AI_Assistant_Computation_Baseline_Harmonisation_Patch_Memo_v0_3.md; 00_active_baseline_draft_patches/OFARM_Reference_Model_AI_Computation_Harmonisation_Patch_v0_1_DRAFT.md,REVIEWED; merge only where path-level decision is safe; no authority promotion from concept overlap.
C0021,semantic,authority_or_core_concept,stale,ai_assistant_computation_finalisation_v0_8_partial;csf_p11_repo_relative_patch;csf_p12_patch_bundle_changed_files;farm_owner_consolidated_v0_1_partial;predevelopment_ai_agent_ready_v0_1_partial;regulatory_inspector_RC2_1a_full_snapshot,added;modified,mixed,Multiple addendums touch authority_or_core_concept=stale. Sample paths: 00_active_baseline/OFARM_Alignment_Register_v0_13.md; 00_active_baseline/OFARM_Platform_Runtime_and_Product_Architecture_RC2_1.md; 00_active_baseline/OFARM_Reference_Model_and_Artifact_Constitution_RC2_1.md; 00_active_baseline/OFARM_Regulatory_Inspector_Harmonization_Addendum_RC2_1a.md; 00_active_baseline/OFARM_final_hostile_review_after_gap_closure_v0_1.md; 00_package_control/BASELINE_CANDIDATE_LAW_REGISTER_v0_3.md; 00_package_control/CHANGELOG_v0_5.md; 00_package_control/INTEGRATION_MAP_v0_3.md,REVIEWED; merge only where path-level decision is safe; no authority promotion from concept overlap.
C0022,semantic,authority_or_core_concept,passport,csf_p11_repo_relative_patch;csf_p12_patch_bundle_changed_files;farm_owner_consolidated_v0_1_partial;predevelopment_ai_agent_ready_v0_1_partial;regulatory_inspector_RC2_1a_full_snapshot,added;modified,mixed,Multiple addendums touch authority_or_core_concept=passport. Sample paths: 00_active_baseline/OFARM_Alignment_Register_v0_13.md; 00_active_baseline/OFARM_Platform_Runtime_and_Product_Architecture_RC2_1.md; 00_active_baseline/OFARM_Reference_Model_and_Artifact_Constitution_RC2_1.md; 00_active_baseline/OFARM_Regulatory_Inspector_Harmonization_Addendum_RC2_1a.md; 00_active_baseline/OFARM_final_hostile_review_after_gap_closure_v0_1.md; 00_active_baseline/OFARM_post_gap_closure_readiness_gate_memo_v0_1.md; 01_companion_artifacts/OFARM_Regulatory_Inspector_Hardening_Note_v0_1.md; 02_accepted_rfcs/OFARM_Execution_Lineage_Trace_RFC_v0_1.md,REVIEWED; merge only where path-level decision is safe; no authority promotion from concept overlap.
C0023,semantic,authority_or_core_concept,DocumentAssembly,csf_p11_repo_relative_patch;csf_p12_patch_bundle_changed_files;farm_owner_consolidated_v0_1_partial;predevelopment_ai_agent_ready_v0_1_partial;regulatory_inspector_RC2_1a_full_snapshot,added;modified,mixed,Multiple addendums touch authority_or_core_concept=DocumentAssembly. Sample paths: 00_active_baseline/OFARM_Alignment_Register_v0_13.md; 00_active_baseline/OFARM_Platform_Runtime_and_Product_Architecture_RC2_1.md; 00_active_baseline/OFARM_Reference_Model_and_Artifact_Constitution_RC2_1.md; 00_active_baseline/OFARM_Regulatory_Inspector_Harmonization_Addendum_RC2_1a.md; 00_active_baseline/OFARM_final_hostile_review_after_gap_closure_v0_1.md; 01_companion_artifacts/OFARM_Regulatory_Inspector_Hardening_Note_v0_1.md; 03_machine_contracts/OFARM_Capability_Manifest_example_regulatory_hardened_deployment_v0_3_draft.json; 03_machine_contracts/OFARM_DevelopmentSpikeDefinition_example_csf_p12_spikes_v0_1.json,REVIEWED; merge only where path-level decision is safe; no authority promotion from concept overlap.
C0024,semantic,authority_or_core_concept,QuerySpecification,ai_assistant_computation_finalisation_v0_8_partial;csf_p11_repo_relative_patch;csf_p12_patch_bundle_changed_files;predevelopment_ai_agent_ready_v0_1_partial;regulatory_inspector_RC2_1a_full_snapshot,added;modified,mixed,Multiple addendums touch authority_or_core_concept=QuerySpecification. Sample paths: 00_active_baseline/OFARM_Alignment_Register_v0_13.md; 00_active_baseline/OFARM_Platform_Runtime_and_Product_Architecture_RC2_1.md; 00_active_baseline/OFARM_Reference_Model_and_Artifact_Constitution_RC2_1.md; 00_active_baseline_draft_patches/OFARM_AI_Assistant_Computation_Baseline_Harmonisation_Patch_Memo_v0_3.md; 00_active_baseline_draft_patches/OFARM_Platform_Runtime_AI_Computation_Harmonisation_Patch_v0_1_DRAFT.md; 00_active_baseline_draft_patches/OFARM_Reference_Model_AI_Computation_Harmonisation_Patch_v0_1_DRAFT.md; 00_package_control/INTEGRATION_MAP_v0_3.md; 00_package_control/PROMOTION_BLOCKERS_v0_5.md,REVIEWED; merge only where path-level decision is safe; no authority promotion from concept overlap.
C0025,authority,authority_or_core_concept,AI,ai_assistant_computation_finalisation_v0_8_partial;csf_p11_repo_relative_patch;csf_p12_patch_bundle_changed_files;farm_owner_consolidated_v0_1_partial;predevelopment_ai_agent_ready_v0_1_partial;regulatory_inspector_RC2_1a_full_snapshot,added;modified,mixed,Multiple addendums touch authority_or_core_concept=AI. Sample paths: 00_active_baseline/OFARM_Alignment_Register_v0_13.md; 00_active_baseline/OFARM_Platform_Runtime_and_Product_Architecture_RC2_1.md; 00_active_baseline/OFARM_Reference_Model_and_Artifact_Constitution_RC2_1.md; 00_active_baseline/OFARM_Regulatory_Inspector_Harmonization_Addendum_RC2_1a.md; 00_active_baseline/OFARM_final_hostile_review_after_gap_closure_v0_1.md; 00_active_baseline/OFARM_post_gap_closure_readiness_gate_memo_v0_1.md; 00_active_baseline_draft_patches/OFARM_AI_Assistant_Computation_Baseline_Harmonisation_Patch_Memo_v0_3.md; 00_active_baseline_draft_patches/OFARM_AI_Computation_Phase9_Readiness_Memo_v0_6_DRAFT.md,REVIEWED; merge only where path-level decision is safe; no authority promotion from concept overlap.
C0026,semantic,authority_or_core_concept,current state,csf_p12_patch_bundle_changed_files;farm_owner_consolidated_v0_1_partial;predevelopment_ai_agent_ready_v0_1_partial;regulatory_inspector_RC2_1a_full_snapshot,added;modified,mixed,Multiple addendums touch authority_or_core_concept=current state. Sample paths: 00_active_baseline/OFARM_Platform_Runtime_and_Product_Architecture_RC2_1.md; 00_active_baseline/OFARM_Reference_Model_and_Artifact_Constitution_RC2_1.md; 00_active_baseline/OFARM_Regulatory_Inspector_Harmonization_Addendum_RC2_1a.md; 02_accepted_rfcs/OFARM_Inspectable_Operation_Detail_RFC_v0_1.md; 03_machine_contracts/OFARM_DevelopmentSpikeDefinition_example_csf_p12_spikes_v0_1.json; 04_implementation_and_conformance/OFARM_Common_Sense_Farmer_P12_Development_Start_Backlog_v0_1.md; 04_implementation_and_conformance/OFARM_Common_Sense_Farmer_P12_Remaining_Phase_Status_v0_1.md; 04_implementation_and_conformance/implementation_notes/farm_owner_practicality/OFARM_Farm_Owner_Consolidated_Addendum_v0_1.md,REVIEWED; merge only where path-level decision is safe; no authority promotion from concept overlap.
C0027,authority,authority_or_core_concept,non-human,predevelopment_ai_agent_ready_v0_1_partial;regulatory_inspector_RC2_1a_full_snapshot,added;modified,mixed,Multiple addendums touch authority_or_core_concept=non-human. Sample paths: 00_active_baseline/OFARM_Platform_Runtime_and_Product_Architecture_RC2_1.md; 00_active_baseline/OFARM_Reference_Model_and_Artifact_Constitution_RC2_1.md; 00_active_baseline/OFARM_Regulatory_Inspector_Harmonization_Addendum_RC2_1a.md; 01_companion_artifacts/OFARM_Regulatory_Inspector_Hardening_Note_v0_1.md; 03_machine_contracts/OFARM_AuthorizationDecisionRequest_schema_v0_2.json; 03_machine_contracts/OFARM_AuthorizationDecisionResult_example_software_agent_attestation_require_human_v0_2.json; 03_machine_contracts/OFARM_AuthorizationDecisionResult_schema_v0_2.json; 03_machine_contracts/OFARM_AuthorizationDecisionTrace_example_software_agent_attestation_require_human_v0_2.json,REVIEWED; merge only where path-level decision is safe; no authority promotion from concept overlap.
C0028,semantic,authority_or_core_concept,projection,ai_assistant_computation_finalisation_v0_8_partial;csf_p12_patch_bundle_changed_files;farm_owner_consolidated_v0_1_partial;predevelopment_ai_agent_ready_v0_1_partial;regulatory_inspector_RC2_1a_full_snapshot,added;modified,mixed,Multiple addendums touch authority_or_core_concept=projection. Sample paths: 00_active_baseline/OFARM_Platform_Runtime_and_Product_Architecture_RC2_1.md; 00_active_baseline/OFARM_Reference_Model_and_Artifact_Constitution_RC2_1.md; 00_active_baseline/OFARM_Regulatory_Inspector_Harmonization_Addendum_RC2_1a.md; 00_active_baseline/OFARM_post_gap_closure_readiness_gate_memo_v0_1.md; 00_active_baseline_draft_patches/OFARM_Reference_Model_AI_Computation_Harmonisation_Patch_v0_1_DRAFT.md; 00_package_control/BASELINE_CANDIDATE_LAW_REGISTER_v0_3.md; 00_package_control/OPEN_DECISIONS_AND_RISKS_v0_3.md; 00_package_control/V0_8_FINALISATION_TASK_REGISTER_v0_8.json,REVIEWED; merge only where path-level decision is safe; no authority promotion from concept overlap.
C0029,semantic,authority_or_core_concept,truth store,ai_assistant_computation_finalisation_v0_8_partial;csf_p12_patch_bundle_changed_files;farm_owner_consolidated_v0_1_partial;predevelopment_ai_agent_ready_v0_1_partial;regulatory_inspector_RC2_1a_full_snapshot,added;modified,mixed,Multiple addendums touch authority_or_core_concept=truth store. Sample paths: 00_active_baseline/OFARM_Platform_Runtime_and_Product_Architecture_RC2_1.md; 00_active_baseline/OFARM_Reference_Model_and_Artifact_Constitution_RC2_1.md; 00_active_baseline/OFARM_Regulatory_Inspector_Harmonization_Addendum_RC2_1a.md; 00_active_baseline/OFARM_final_hostile_review_after_gap_closure_v0_1.md; 00_active_baseline/OFARM_post_gap_closure_readiness_gate_memo_v0_1.md; 00_active_baseline_draft_patches/OFARM_Alignment_Register_AI_Computation_Delta_v0_1_DRAFT.md; 00_active_baseline_draft_patches/OFARM_Reference_Model_AI_Computation_Harmonisation_Patch_v0_1_DRAFT.md; 00_package_control/BASELINE_CANDIDATE_LAW_REGISTER_v0_3.md,REVIEWED; merge only where path-level decision is safe; no authority promotion from concept overlap.
C0030,authority,authority_or_core_concept,pack activation,predevelopment_ai_agent_ready_v0_1_partial;regulatory_inspector_RC2_1a_full_snapshot,added;modified,mixed,Multiple addendums touch authority_or_core_concept=pack activation. Sample paths: 00_active_baseline/OFARM_Platform_Runtime_and_Product_Architecture_RC2_1.md; 00_active_baseline/OFARM_Reference_Model_and_Artifact_Constitution_RC2_1.md; 00_active_baseline/OFARM_final_hostile_review_after_gap_closure_v0_1.md; 04_implementation_and_conformance/OFARM_Regulatory_Inspector_Phase8_Negative_Case_Design_v0_1.json; 04_implementation_and_conformance/historical_archive/historical_archive/historical/OFARM_conformance_coverage_matrix_v0_1.md; 04_implementation_and_conformance/conformance_runners/agent_readiness_conformance_v0_1/explainability_regression_tests_v0_1.json; 04_implementation_and_conformance/conformance_runners/agent_readiness_conformance_v0_1/semantic_law_blocker_tests_v0_1.json; 04_implementation_and_conformance/conformance_runners/ai_agent_ready_platform_amendment_v0_1/OFARM_Platform_Module_Boundary_Map_v0_1.md,REVIEWED; merge only where path-level decision is safe; no authority promotion from concept overlap.
C0031,authority,authority_or_core_concept,Capability Manifest,ai_assistant_computation_finalisation_v0_8_partial;csf_p11_repo_relative_patch;predevelopment_ai_agent_ready_v0_1_partial;regulatory_inspector_RC2_1a_full_snapshot,added;modified,mixed,Multiple addendums touch authority_or_core_concept=Capability Manifest. Sample paths: 00_active_baseline/OFARM_Platform_Runtime_and_Product_Architecture_RC2_1.md; 00_active_baseline/OFARM_final_hostile_review_after_gap_closure_v0_1.md; 00_active_baseline_draft_patches/OFARM_AI_Computation_Phase9_Readiness_Memo_v0_6_DRAFT.md; 00_package_control/BASELINE_CANDIDATE_LAW_REGISTER_v0_3.md; 00_package_control/CAPABILITY_MANIFEST_MERGE_DECISION_v0_7.md; 00_package_control/CHANGELOG_v0_7.md; 00_package_control/PHASE_STATUS_MATRIX_v0_4.md; 00_package_control/PHASE_STATUS_MATRIX_v0_5.md,REVIEWED; merge only where path-level decision is safe; no authority promotion from concept overlap.
C0032,semantic,schemaVersion,ofarm.runtimeproblem.v0.1,predevelopment_ai_agent_ready_v0_1_partial;regulatory_inspector_RC2_1a_full_snapshot,added,mixed,Multiple addendums touch schemaVersion=ofarm.runtimeproblem.v0.1. Sample paths: 03_machine_contracts/OFARM_AuthorizationDecisionResult_example_revoked_submission_deny_v0_2.json; 03_machine_contracts/OFARM_AuthorizationDecisionResult_example_software_agent_attestation_require_human_v0_2.json; 04_implementation_and_conformance/examples_and_fixtures/output_assembly_examples_v0_1/OFARM_OutputAssemblyPreviewResult_example_document_dossier_blocked_stale_v0_1.json; 04_implementation_and_conformance/service_and_sdk_candidates/service_descriptions/ofarm_public_platform_api_v0_1/OFARM_PublicReadModelEnvelope_example_field7_stale_materialization_v0_1.json; 04_implementation_and_conformance/service_and_sdk_candidates/service_descriptions/ofarm_public_platform_api_v0_1/OFARM_PublicReadModelEnvelope_example_permission_limited_evidence_v0_1.json,REVIEWED; merge only where path-level decision is safe; no authority promotion from concept overlap.
C0033,semantic,text_id,SHA-256,csf_p11_repo_relative_patch;regulatory_inspector_RC2_1a_full_snapshot,added,mixed,Multiple addendums touch text_id=SHA-256. Sample paths: 03_machine_contracts/OFARM_EvidenceAuthenticityEnvelope_example_input_invoice_v0_1.json; 03_machine_contracts/OFARM_EvidenceAuthenticityEnvelope_example_live_pilot_run_application_log_v0_1.json; 03_machine_contracts/OFARM_EvidenceAuthenticityEnvelope_example_live_pilot_run_input_invoice_v0_1.json; 03_machine_contracts/OFARM_EvidenceAuthenticityEnvelope_example_regulatory_pilot_application_log_v0_1.json; 03_machine_contracts/OFARM_EvidenceAuthenticityEnvelope_example_regulatory_pilot_input_invoice_v0_1.json; 03_machine_contracts/OFARM_EvidenceAuthenticityEnvelope_schema_v0_1.json; 04_implementation_and_conformance/OFARM_Common_Sense_Farmer_P11_PrePilot_Packet_Acceptance_Checklist_v0_1.md; 04_implementation_and_conformance/OFARM_Regulatory_Inspector_Amendment_Validation_Report_v0_10.json,REVIEWED; merge only where path-level decision is safe; no authority promotion from concept overlap.
C0034,semantic,filename_token,OFARM_Implementation_Planning_and_Task_Register_v0_1,csf_p11_repo_relative_patch;csf_p12_patch_bundle_changed_files;regulatory_inspector_RC2_1a_full_snapshot,modified,mixed,Multiple addendums touch filename_token=OFARM_Implementation_Planning_and_Task_Register_v0_1. Sample paths: 04_implementation_and_conformance/service_and_sdk_candidates/reference_platform_and_sdk/OFARM_Implementation_Planning_and_Task_Register_v0_1.md,REVIEWED; merge only where path-level decision is safe; no authority promotion from concept overlap.
C0035,structural,task_or_register_family,OFARM_Implementation_Planning_and_Task_Register_v*.md,csf_p11_repo_relative_patch;csf_p12_patch_bundle_changed_files;regulatory_inspector_RC2_1a_full_snapshot,modified,mixed,Multiple addendums touch task_or_register_family=OFARM_Implementation_Planning_and_Task_Register_v*.md. Sample paths: 04_implementation_and_conformance/service_and_sdk_candidates/reference_platform_and_sdk/OFARM_Implementation_Planning_and_Task_Register_v0_1.md,REVIEWED; merge only where path-level decision is safe; no authority promotion from concept overlap.
C0036,semantic,text_id,IMP-000,csf_p12_patch_bundle_changed_files;regulatory_inspector_RC2_1a_full_snapshot,modified,mixed,Multiple addendums touch text_id=IMP-000. Sample paths: 04_implementation_and_conformance/service_and_sdk_candidates/reference_platform_and_sdk/OFARM_Implementation_Planning_and_Task_Register_v0_1.md; 04_implementation_and_conformance/service_and_sdk_candidates/reference_platform_and_sdk/OFARM_Implementation_Task_Register_v0_1.json,REVIEWED; merge only where path-level decision is safe; no authority promotion from concept overlap.
C0037,semantic,text_id,IMP-101,csf_p12_patch_bundle_changed_files;regulatory_inspector_RC2_1a_full_snapshot,added;modified,mixed,Multiple addendums touch text_id=IMP-101. Sample paths: 04_implementation_and_conformance/service_and_sdk_candidates/reference_platform_and_sdk/OFARM_Implementation_Planning_and_Task_Register_v0_1.md; 04_implementation_and_conformance/service_and_sdk_candidates/reference_platform_and_sdk/OFARM_Implementation_Task_Register_v0_1.json; CURRENT_ACTIVE_ENTRYPOINT.json; CURRENT_ACTIVE_ENTRYPOINT.md,REVIEWED; merge only where path-level decision is safe; no authority promotion from concept overlap.
C0038,semantic,text_id,IMP-102,csf_p12_patch_bundle_changed_files;regulatory_inspector_RC2_1a_full_snapshot,added;modified,mixed,Multiple addendums touch text_id=IMP-102. Sample paths: 04_implementation_and_conformance/service_and_sdk_candidates/reference_platform_and_sdk/OFARM_Implementation_Planning_and_Task_Register_v0_1.md; 04_implementation_and_conformance/service_and_sdk_candidates/reference_platform_and_sdk/OFARM_Implementation_Task_Register_v0_1.json; CURRENT_ACTIVE_ENTRYPOINT.json; CURRENT_ACTIVE_ENTRYPOINT.md,REVIEWED; merge only where path-level decision is safe; no authority promotion from concept overlap.
C0039,semantic,text_id,IMP-103,csf_p12_patch_bundle_changed_files;regulatory_inspector_RC2_1a_full_snapshot,added;modified,mixed,Multiple addendums touch text_id=IMP-103. Sample paths: 04_implementation_and_conformance/service_and_sdk_candidates/reference_platform_and_sdk/OFARM_Implementation_Planning_and_Task_Register_v0_1.md; 04_implementation_and_conformance/service_and_sdk_candidates/reference_platform_and_sdk/OFARM_Implementation_Task_Register_v0_1.json; CURRENT_ACTIVE_ENTRYPOINT.json; CURRENT_ACTIVE_ENTRYPOINT.md,REVIEWED; merge only where path-level decision is safe; no authority promotion from concept overlap.
C0040,semantic,text_id,IMP-201,csf_p12_patch_bundle_changed_files;regulatory_inspector_RC2_1a_full_snapshot,added;modified,mixed,Multiple addendums touch text_id=IMP-201. Sample paths: 04_implementation_and_conformance/service_and_sdk_candidates/reference_platform_and_sdk/OFARM_Implementation_Planning_and_Task_Register_v0_1.md; 04_implementation_and_conformance/service_and_sdk_candidates/reference_platform_and_sdk/OFARM_Implementation_Task_Register_v0_1.json; CURRENT_ACTIVE_ENTRYPOINT.json; CURRENT_ACTIVE_ENTRYPOINT.md,REVIEWED; merge only where path-level decision is safe; no authority promotion from concept overlap.
